,uuid,KEY,Site,HH_Number,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWater_PublicVendor,DrinkingWaterContainer,DrinkingWaterContainer2,DrinkingWaterContainer2/Metal_Closed,DrinkingWaterContainer2/Metal_Open,DrinkingWaterContainer2/Only_one,DrinkingWaterContainer2/Other_Closed,DrinkingWaterContainer2/Other_Open,DrinkingWaterContainer2/Plastic_Closed,DrinkingWaterContainer2/Plastic_Open,DrinkingWaterContainer2/NA,DrinkingWaterTreatment,DrinkingWaterTreatment2,DrinkingWaterTreatment2/BleachChlorine,DrinkingWaterTreatment2/Boil,DrinkingWaterTreatment2/Filter,DrinkingWaterTreatment2/Other,DrinkingWaterTreatment2/Settle,DrinkingWaterTreatment2/SolarDesinf,DrinkingWaterTreatment2/Strain,DrinkingWaterTreatment2/NA,DrinkingWaterTreatment2Spec,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Microwave,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHROOMS,StreetFood
348,4add689d7a314c899ba5137cc65e8265,uuid:dbd21975-8879-4f15-b00e-b634113b4ad1,Mathare,414,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_river,Y,0,1,0,0,0,1,0,1,1,0,0,1,0_1
349,de1472b6c9754103927d0d478c541e68,uuid:7b4baaa5-5422-44d1-8cc1-262b6ebc60f0,Mathare,268,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,,,,Public,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,0,0,0,0,1,5_Or_More
350,4add689d7a314c899ba5137cc65e8265,uuid:3c205cad-6602-4c4c-9532-c12456eadc84,Mathare,247,Private,Piped_neigh,,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,0,1,0,0,0,0,0,0,0,0,0,1,5_Or_More
351,de1472b6c9754103927d0d478c541e68,uuid:b70199df-9d9b-4129-bb0a-18a1c4066e21,Mathare,509,Private,Piped_yard,,,,,,0,0,0,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,N,Obs_Fixed,,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,1,1,0,0,1,2_4
352,4add689d7a314c899ba5137cc65e8265,uuid:995a3c1c-bf99-4338-8382-8959ea74d008,Mathare,724C,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Fixed,,Water_OK,NoFacility_Nature,,,,,0,0,0,0,0,0,0,0,0,1,0,1,2_4
353,4add689d7a314c899ba5137cc65e8265,uuid:b87a665c-4719-46e7-b3cc-e6d7214fc84e,Mathare,48,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,N,,,,Public,Flush,,Flush_river,Y,0,1,0,0,0,1,0,0,1,0,0,1,2_4
354,4add689d7a314c899ba5137cc65e8265,uuid:6ea866c0-de48-4cf8-883f-67ae7828a76d,Mathare,316,Private,Piped_neigh,,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_river,Y,0,1,1,0,0,1,0,1,0,0,0,1,5_Or_More
355,4add689d7a314c899ba5137cc65e8265,uuid:902b0d68-242b-4a04-81b9-17aae3c0e5cc,Mathare,125,Private,Piped_neigh,,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,0,0,0,1,5_Or_More
356,de1472b6c9754103927d0d478c541e68,uuid:c8462745-7777-4c46-adc5-ee3c0e360fe2,Mathare,720A,Public,,Public_Tap,5.0,,Plastic_Open,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_NOT_OK,Public,Flush,,Flush_river,Y,0,0,0,0,0,0,0,0,0,1,0,1,0_1
357,4add689d7a314c899ba5137cc65e8265,uuid:4a369e41-c3c7-4b5a-b76e-e757e75b2f71,Mathare,116,Public,,Public_Tap,5.0,,Plastic_Open,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,1,0,0,2,5_Or_More
358,4add689d7a314c899ba5137cc65e8265,uuid:9f2a3075-b764-479e-86b0-d4fc9bcb88ce,Mathare,544,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,NoFacility_Nature,,,,,0,1,0,0,0,1,0,0,0,0,0,1,
359,4add689d7a314c899ba5137cc65e8265,uuid:42ff2771-17a5-4120-9fb7-30e26dda8bae,Mathare,100A,Private,Piped_neigh,,5.0,,Other_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Neighb_YardPlot,Flush,,Flush_piped,Y,0,0,0,0,0,0,0,0,0,1,0,1,0_1
360,4add689d7a314c899ba5137cc65e8265,uuid:a92a64f9-d2fd-46eb-96ae-0456f32c87a2,Mathare,497,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Own_YardPlot,Flush,,Flush_piped,Y,0,0,0,0,0,0,0,0,1,0,0,1,5_Or_More
361,4add689d7a314c899ba5137cc65e8265,uuid:f3a2e1e6-8b75-40a5-bb67-a024d9d876fd,Mathare,202,Public,,Public_Tap,5.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,1,0,0,1,0,1,0,0,0,1,2_4
362,de1472b6c9754103927d0d478c541e68,uuid:9e090d87-0a26-4d0b-b049-f54a0a77c919,Mathare,1150,Private,Piped_yard,,,,,,0,0,0,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,1,1,0,0,1,5_Or_More
363,4add689d7a314c899ba5137cc65e8265,uuid:fc94ec2a-60f4-4baf-a3f4-a3a802951953,Mathare,389,Private,Piped_dwel,,,,,,0,0,0,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,,,,Own_YardPlot,Flush,,Flush_piped,N,0,1,0,0,0,1,0,0,1,0,0,2,2_4
364,4add689d7a314c899ba5137cc65e8265,uuid:fcbd83fa-f5db-4cd9-96d6-2d9ec5c19fe2,Mathare,979,Public,,Vendor,5.0,Vendor_Cart,Plastic_Closed,Plastic_Open Plastic_Closed,0,0,0,0,0,1,1,0,N,,0,0,0,0,0,0,0,0,,N,,,,Public,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,1,0,0,0,2,5_Or_More
365,de1472b6c9754103927d0d478c541e68,uuid:fbaa25e0-4ffe-4780-a161-d58265e73dfc,Mathare,962,Private,Piped_yard,,,,,,0,0,0,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,DryOrCompost,Dry_FreshLife,,Y,0,1,1,0,0,1,0,1,1,0,0,2,2_4
366,4add689d7a314c899ba5137cc65e8265,uuid:721d3d6c-2bb6-4668-97b0-d7a8b88904f0,Mathare,260,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,0,0,0,0,0,0,0,0,0,1,0,1,
367,4add689d7a314c899ba5137cc65e8265,uuid:2c05e6b4-e7ae-464c-b74a-8253560a2f0b,Mathare,973,Public,,Public_Tap,2.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,N,Obs_Mobile,,Water_OK,Public,Flush,,Flush_river,Y,0,1,1,0,0,1,0,1,0,0,0,1,5_Or_More
368,4add689d7a314c899ba5137cc65e8265,uuid:2c1a01d1-936e-43d7-9bb7-4979a8a0db7c,Mathare,1165,Private,Piped_neigh,,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,0,1,1,0,0,1,0,1,1,0,0,1,5_Or_More
369,4add689d7a314c899ba5137cc65e8265,uuid:b3215c48-5c80-4c3f-85aa-c8c46936a76d,Mathare,78,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_river,Y,0,0,0,0,0,1,0,0,1,0,0,1,2_4
370,4add689d7a314c899ba5137cc65e8265,uuid:1040ccb6-c53e-456e-a2e4-d45f8afc34bf,Mathare,548,Public,,Public_Tap,15.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_river,Y,0,0,0,0,0,1,0,1,1,0,0,1,0_1
371,4add689d7a314c899ba5137cc65e8265,uuid:50971e83-cf4d-4439-862b-bf3a19be7a7a,Mathare,1079,Public,,Public_Tap,10.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,0,0,0,0,1,0_1
372,4add689d7a314c899ba5137cc65e8265,uuid:a5ade7ea-1517-426f-af0a-c15a9eb96e17,Mathare,331,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Neighb_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,1,0,0,1,
373,4add689d7a314c899ba5137cc65e8265,uuid:97e2f3b9-d4cf-4b45-bffc-c7cf877ea65a,Mathare,319,Private,Piped_neigh,,5.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_NOT_OK,Own_YardPlot,Flush,,Flush_river,Y,0,1,0,0,0,0,0,0,0,0,0,1,5_Or_More
374,de1472b6c9754103927d0d478c541e68,uuid:301569ad-5389-4a64-989b-ba3ca508c8d2,Mathare,69,Public,,Public_Tap,10.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,,,,Public,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,0,0,0,0,1,5_Or_More
375,de1472b6c9754103927d0d478c541e68,uuid:debdda55-ce94-4679-96cb-512525514671,Mathare,77,Private,Piped_yard,,,,,,0,0,0,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,1,0,0,1,5_Or_More
376,de1472b6c9754103927d0d478c541e68,uuid:c6d5f272-b721-4eb3-b7a7-7daaf5bd3e24,Mathare,902,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,Boil,0,1,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_NOT_OK,Public,Flush,,Flush_river,Y,0,1,1,0,0,0,0,1,1,0,0,1,2_4
377,4add689d7a314c899ba5137cc65e8265,uuid:9e44e72d-9e81-4ac6-8402-c095f48cb411,Mathare,60,Private,Piped_dwel,,,,,,0,0,0,0,0,0,0,0,Y,Boil,0,1,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,1,0,0,8,0_1
378,4add689d7a314c899ba5137cc65e8265,uuid:c2a30430-6d99-4e94-8a05-aa0f5755fabd,Mathare,1003A,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_OK,Public,Flush,,Flush_piped,Y,0,0,0,0,0,0,0,0,0,1,0,1,2_4
379,4add689d7a314c899ba5137cc65e8265,uuid:b0c080fa-bf8e-4ebe-96d2-dd01b6577771,Mathare,1068,Public,,Public_Tap,5.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_river,Y,0,1,1,0,0,1,0,1,1,0,0,1,5_Or_More
